gene_name,adjusted p-value
GFPT2,0.0009999976019242158
HLA-DRB1,0.000999997630337369
ZNF683,0.0009999976415149964
AMICA1,0.0009999976635568608
NSG1,0.0009999976635568608
GZMH,0.0009999976635568608
GNLY,0.0009999976635568608
SPON2,0.000999997674424013
KLRG1,0.001999995348848026
ITM2A,0.001999995545666936
RP11-23P13.6,0.001999995604405265
IL7R,0.002999992891012107
CD5,0.002999992924544989
ALOX5AP,0.0029999933481300485
C1orf162,0.004999983974410338
KLRD1,0.004999988317784304
TSPYL2-1,0.005999985782024214
HLA-DRB5,0.006999981132126328
MT-CO3,0.006999983644898026
HAVCR2,0.00999997863252429
MAT2A,0.010999972839573236
ITGB2,0.010999974299125468
DFNB31,0.011999971223090593
RPLP1,0.016999960280466634
DDX10,0.017999961864487574
CD300A,0.01899995518878493
PASK,0.02099994827598947
HOPX,0.021999950000113636
CD28,0.025999942857268445
SATB1,0.026999942307815585
RNVU1-19,0.027999934579592104
MT-ND2,0.028999932243148965
MVB12B,0.03299989423110823
CD160,0.03599992372897515
ARPC2,0.04199990186938815
B2M,0.04499989486005874
KLRB1,0.04899988551428618
