gene_name,F_pval,highly_variable_rank,on_ratio
RP11-465B22.3,6.476503409719859e-20,4367.0,0.07932011331444759
PER3,2.869629748645367e-15,5359.0,0.06515580736543909
RP3-477M7.5,6.79741734226172e-26,,0.0906515580736544
ID3,5.403417192250129e-21,955.0,0.11048158640226628
STMN1,5.5294560049008795e-19,9.0,0.18980169971671387
SH3BGRL3,5.978229410211806e-19,,1.0
CD52,2.9454526604357455e-14,3262.0,0.9688385269121813
IFI44L,1.0652094390880042e-16,2108.0,0.1274787535410765
S1PR1,9.350608650849993e-19,389.0,0.13314447592067988
CSF1,4.208890354542944e-23,59.0,0.45325779036827196
CD2,1.743682443232382e-37,4929.0,0.9915014164305949
REG4,1.4394576184040059e-52,101.0,0.141643059490085
S100A4,9.60019179320391e-16,2335.0,0.9320113314447592
SLAMF7,6.553472847267483e-23,653.0,0.1529745042492918
FCGR3A,1.0918280707194393e-17,33.0,0.23229461756373937
SELL,6.776881458626806e-21,440.0,0.19830028328611898
PFN1P1,9.669756062274796e-13,,0.9943342776203966
RGS1,1.6069405664833996e-13,290.0,0.17280453257790368
IL2RA,1.5356548259814177e-19,16.0,0.6458923512747875
SRGN,8.537508670414893e-19,4489.0,0.9915014164305949
IFITM1,8.507343930829402e-24,7393.0,0.5609065155807366
MALAT1,5.260717879412312e-32,5915.0,1.0
CADM1,1.813105059228273e-23,880.0,0.23229461756373937
AMICA1,3.5627873437265455e-52,41.0,0.5155807365439093
CD9,1.3415809305636664e-15,744.0,0.18413597733711048
LAG3,3.3285692187458253e-28,1386.0,0.7620396600566572
KLRG1,5.628974675856898e-16,2236.0,0.053824362606232294
KLRB1,5.3828319094716896e-33,60.0,0.31444759206798867
KLRD1,9.917433665506094e-39,2436.0,0.5750708215297451
KLRC3,2.97923883720866e-40,,0.42492917847025496
KLRC2,1.3904867947039245e-42,3521.0,0.5552407932011332
KLRC1,7.345654855060055e-32,275.0,0.45609065155807366
IFNG,5.01763741644768e-19,10.0,0.6827195467422096
ALOX5AP,1.0597989850811536e-30,563.0,0.7563739376770539
LPAR6,4.226422091160411e-14,1040.0,0.3881019830028329
RCBTB2,3.972232363299319e-14,136.0,0.16997167138810199
NDFIP2,5.398364206752645e-13,2533.0,0.7507082152974505
GZMB,8.167815225116933e-14,201.0,0.9971671388101983
ASB2,2.95149963043664e-19,308.0,0.20679886685552407
B2M,4.664117226718923e-27,,1.0
NPTN,9.926440731032681e-17,,0.49291784702549574
LRRC28,4.8347921039109606e-58,8.0,0.311614730878187
IL32,7.8178282242251e-36,,1.0
MAF,1.099318812352791e-19,2265.0,0.8101983002832861
COTL1,1.0543999335500416e-14,1877.0,0.43342776203966005
CCL5,8.20696695396225e-25,1490.0,1.0
CCL23,5.310596922854534e-18,54.0,0.141643059490085
CCL3,6.336301953242434e-21,163.0,0.9263456090651558
CCL4,7.8702718731033615e-25,26.0,0.9801699716713881
CCL3L3,1.829915967280986e-25,630.0,0.5637393767705382
CCL4L1,1.0310084474227453e-34,11.0,0.5410764872521246
CCL3L1,5.131801751218541e-29,311.0,0.9235127478753541
CCL4L2,5.920667204282491e-23,1044.0,0.47875354107648727
CD300A,2.52344819631356e-16,2009.0,0.08781869688385269
LGALS3BP,4.066845492412847e-24,495.0,0.0679886685552408
GNG8,3.7349502738766637e-19,1885.0,0.1671388101983003
FTL,7.102645177511634e-25,5407.0,1.0
NKG7,8.625829934857559e-19,4433.0,0.9915014164305949
LAIR2,1.771597817713747e-27,854.0,0.3314447592067989
AC092580.4,7.210033185103816e-18,6772.0,0.9915014164305949
ID2,1.7268629271331318e-13,4011.0,0.9886685552407932
FAM49A,2.0439842906309865e-20,2414.0,0.26628895184135976
CRIM1,5.675054962378175e-13,7348.0,0.6855524079320113
EPAS1,7.191580169534758e-17,1629.0,0.20679886685552407
PLEK,1.5900268982024242e-27,170.0,0.46742209631728043
TMSB10,3.543394577050974e-17,1579.0,0.9943342776203966
CCL20,3.504566267191445e-20,7464.0,0.0821529745042493
TMSB10P1,4.002489105992503e-21,,0.8328611898016998
FTLP3,3.140270957226075e-16,,0.9688385269121813
MIR155HG,3.8237987141452296e-29,297.0,0.2521246458923513
MX1,5.94942977963872e-14,456.0,0.2747875354107649
