gene_name,adjusted p-value
IL7R,0.000999997630337369
HLA-DRB1,0.000999997630337369
AMICA1,0.0009999976635568608
CD8B,0.0009999976635568608
GZMH,0.0009999976635568608
GNLY,0.0009999976635568608
ITGB1,0.000999997674424013
SPON2,0.000999997674424013
ITM2A,0.000999997772833468
ZNF683,0.0019999952830299927
CD5,0.0019999952830299927
KLRD1,0.0019999953271137216
GFPT2,0.002999992805772648
MT-ND5,0.003999990654227443
GPR56,0.004999988317784304
CD300A,0.005999985849089978
NSG1,0.006999983644898026
HOPX,0.007999981818223142
HAVCR2,0.00799998290601943
RP11-23P13.6,0.009999978022026327
DFNB31,0.010999973621166377
TSPYL2-1,0.011999971564048428
SATB1,0.01899995940179615
HLA-DRB5,0.01999994609178951
KLRG1,0.019999953488480257
NKG7,0.020999950934694075
NCAPG2,0.02399994725286318
TTPAL,0.035999907216733976
ALOX5AP,0.03599992017756058
C1orf162,0.03899987500040064
CD28,0.039999912088105306
CACNA2D4,0.040999929188377915
DDX10,0.04599990254257936
FCGR3A,0.046999890697928606
RNVU1-19,0.04899988551428618
