gene_name,Clonal_eta_squared
ZNF683,0.2093350899721665
CD8B,0.20896164375578655
DDX10,0.19744752913124639
GNLY,0.19416654743751757
ITM2A,0.19001238115929864
CACNA2D4,0.18594042402914732
HLA-DRB1,0.1838889167833774
AMICA1,0.18056634152692935
KLRD1,0.17648987709248096
ITGB1,0.1747052864823263
NSG1,0.17156362265025268
GRK5,0.17064303092722116
CD5,0.1660117220069313
C1orf162,0.15852356012764096
MT-TS2,0.15822404372563662
MT-ND5,0.15619094603270756
METRNL,0.15455598827793787
DFNB31,0.14960271757402735
TTPAL,0.14835970509636862
HOPX,0.1483366244760613
GATA3,0.1446639942766144
MVB12B,0.14203700744822684
SPON2,0.1409973302369667
